"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN","TOBS"
"US1ILWL0016","41.6274","-87.9281","225.9","2008-03-06","0.01",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-03-07","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-03-08","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-03-09","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-03-11","0.03",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-03-12","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-03-13","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-03-14","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-03-15","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-03-16","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-03-17","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-03-18","0.21",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-03-19","0.06",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-03-20","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-03-21","0.10",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-03-22","0.19",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-03-24","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-03-25","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-03-27","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-03-28","0.37",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-03-29","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-03-30","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-03-31","0.11",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-04-01","0.30",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-04-02","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-04-03","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-04-04","0.05",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-04-05","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-04-06","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-04-07","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-04-08","0.08",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-04-09","0.42",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-04-10","0.07",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-04-11","0.52",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-04-12","0.18",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-04-13","0.16",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-04-14","0.01",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-04-15","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-04-16","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-04-17","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-04-18","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-04-19","0.05",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-04-20","0.04",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-04-21","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-04-22","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-04-23","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-04-24","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-04-25","0.12",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-04-26","0.45",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-04-27","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-04-28","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-04-29","0.17",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-04-30","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-05-01","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-05-02","0.01",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-05-03","0.78",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-05-04","0.03",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-05-05","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-05-06","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-05-07","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-05-08","0.65",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-05-09","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-05-10","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-05-11","0.82",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-05-12","0.97",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-05-13","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-05-14","0.24",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-05-15","0.01",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-05-16","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-05-17","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-05-18","0.19",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-05-19","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-05-20","0.06",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-05-21","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-05-22","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-05-23","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-05-24","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-05-25","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-05-26","0.56",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-05-27","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-05-28","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-05-29","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-05-30","0.03",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-05-31","0.31",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-06-01","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-06-02","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-06-03","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-06-04","0.52",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-06-05","1.16",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-06-06","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-06-07","0.05",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-06-09",,,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-06-10","0.04",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-06-11","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-06-12","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-06-13","0.31",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-06-14","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-06-15","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-06-16","0.24",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-06-17","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-06-18","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-06-19","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-06-20","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-06-21","0.23",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-06-22","0.03",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-06-23","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-06-24","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-06-25","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-06-26","0.24",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-06-27","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-06-28","0.01",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-06-29","0.10",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-06-30","0.04",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-07-01","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-07-02","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-07-03","0.04",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-07-04","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-07-05","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-07-06","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-07-07","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-07-08","0.15",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-07-09","0.15",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-07-10","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-07-11","0.72",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-07-12","0.68",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-07-13","0.02",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-07-14","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-07-15","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-07-16","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-07-17","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-07-18","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-07-19","0.28",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-07-20","0.88",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-07-21","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-07-22","0.15",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-07-23","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-07-24","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-07-25","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-07-26","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-07-27","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-07-28","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-07-29","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-07-30","0.47",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-07-31","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-08-01","0.10",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-08-02","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-08-03","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-08-04","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-08-05","1.17",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-08-06","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-08-07","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-08-08","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-08-09","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-08-10","0.45",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-08-11","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-08-12","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-08-13","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-08-14","0.02",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-08-15","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-08-16","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-08-17","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-08-18","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-08-19","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-08-20","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-08-21","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-08-26",,,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-08-27","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-08-28","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-08-29","0.08",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-08-30","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-08-31","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-09-01","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-09-02","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-09-03","0.07",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-09-04","0.09",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-09-05","2.61",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-09-06","0.01",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-09-07","0.02",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-09-08","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-09-09","1.10",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-09-10","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-09-11","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-09-12","0.05",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-09-14",,,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-09-15","1.12",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-09-16","0.02",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-09-17","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-09-18","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-09-19","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-09-22",,,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-09-23","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-09-24","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-09-25","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-09-26","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-09-27","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-09-28","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-09-29","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-09-30","0.06",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-10-01","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-10-02","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-10-03","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-10-04","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-10-05","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-10-06","0.01",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-10-07","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-10-08","1.24",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-10-09","0.01",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-10-10","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-10-11","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-10-12","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-10-13","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-10-14","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-10-15","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-10-16","0.24",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-10-17","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-10-18","0.04",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-10-19","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-10-20","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-10-21","0.21",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-10-22","0.01",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-10-24","0.28",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-10-25","0.24",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-10-26","0.02",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-10-27","0.02",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-10-28","0.01",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-10-29","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-10-30","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-10-31","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-11-01","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-11-02","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-11-03","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-11-04","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-11-05","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-11-06","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-11-07","0.29",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-11-08","0.03",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-11-09","0.01",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-11-10","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-11-11","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-11-12","0.24",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-11-13","0.02",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-11-14","0.11",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-11-15","0.03",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-11-16","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-11-17","0.02",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-11-18","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-11-19","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-11-20","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-11-21","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-11-22","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-11-23","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-11-24","0.06",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-11-25","0.02",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-11-26","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-11-27","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-11-28","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-11-29","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-11-30","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-12-01","0.28",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-12-02","0.01",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-12-03","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-12-04","0.02",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-12-05","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-12-06","0.03",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-12-07","0.01",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-12-08","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-12-09","0.47",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-12-10","0.45",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-12-11","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-12-12","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-12-13","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-12-14","0.19",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-12-15","0.28",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-12-16","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-12-17","0.21",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-12-18","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-12-19","1.07",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-12-20","0.03",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-12-21","0.06",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-12-22","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-12-23","0.03",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-12-24","0.31",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-12-25","0.25",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-12-26","0.08",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-12-27","1.10",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-12-28","0.83",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-12-29","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-12-30","0.00",,,,
"US1ILWL0016","41.6274","-87.9281","225.9","2008-12-31","0.00",,,,
"US1ILCK0064","41.5577","-87.6594","196.0","2007-03-17","0.00",,,,
"US1ILCK0064","41.5577","-87.6594","196.0","2007-03-18","0.00",,,,
"US1ILCK0064","41.5577","-87.6594","196.0","2007-03-19","0.17",,,,
"US1ILCK0064","41.5577","-87.6594","196.0","2007-03-20","0.00",,,,
"US1ILCK0064","41.5577","-87.6594","196.0","2007-03-21","0.39",,,,
"US1ILCK0064","41.5577","-87.6594","196.0","2007-03-22","0.57",,,,
"US1ILCK0064","41.5577","-87.6594","196.0","2007-03-23","0.50",,,,
"US1ILCK0064","41.5577","-87.6594","196.0","2007-03-24","0.11",,,,
"US1ILCK0064","41.5577","-87.6594","196.0","2007-03-25","0.00",,,,
"US1ILCK0064","41.5577","-87.6594","196.0","2007-03-26","0.00",,,,
"US1ILCK0064","41.5577","-87.6594","196.0","2007-03-27","0.00",,,,
"US1ILCK0064","41.5577","-87.6594","196.0","2007-03-28","0.29",,,,
"US1ILCK0064","41.5577","-87.6594","196.0","2007-03-29","0.02",,,,
"US1ILCK0064","41.5577","-87.6594","196.0","2007-03-30","0.00",,,,
"US1ILCK0064","41.5577","-87.6594","196.0","2007-03-31","0.00",,,,
"US1ILCK0064","41.5577","-87.6594","196.0","2007-04-01","0.44",,,,
"US1ILCK0064","41.5577","-87.6594","196.0","2007-04-02","0.00",,,,
"US1ILCK0064","41.5577","-87.6594","196.0","2007-04-03","0.00",,,,
"US1ILCK0064","41.5577","-87.6594","196.0","2007-04-04","0.03",,,,
"US1ILCK0064","41.5577","-87.6594","196.0","2007-04-05","0.00",,,,
"US1ILCK0064","41.5577","-87.6594","196.0","2007-04-06","0.00",,,,
"US1ILCK0064","41.5577","-87.6594","196.0","2007-04-07","0.00",,,,
"US1ILCK0064","41.5577","-87.6594","196.0","2007-04-08","0.00",,,,
"US1ILCK0064","41.5577","-87.6594","196.0","2007-04-09","0.00",,,,
"US1ILCK0064","41.5577","-87.6594","196.0","2007-04-10","0.01",,,,
"US1ILCK0064","41.5577","-87.6594","196.0","2007-04-11","0.63",,,,
"US1ILCK0064","41.5577","-87.6594","196.0","2007-04-12","0.76",,,,
"US1ILCK0064","41.5577","-87.6594","196.0","2007-04-13","0.03",,,,
"US1ILCK0064","41.5577","-87.6594","196.0","2007-04-14","0.00",,,,
"US1ILCK0064","41.5577","-87.6594","196.0","2007-04-15","0.00",,,,
"US1ILCK0064","41.5577","-87.6594","196.0","2007-04-16","0.00",,,,
"US1ILCK0064","41.5577","-87.6594","196.0","2007-04-17","0.00",,,,
"US1ILCK0064","41.5577","-87.6594","196.0","2007-04-18","0.00",,,,
"US1ILCK0064","41.5577","-87.6594","196.0","2007-04-19","0.01",,,,
"US1ILCK0064","41.5577","-87.6594","196.0","2007-04-20","0.00",,,,
"US1ILCK0064","41.5577","-87.6594","196.0","2007-04-21","0.00",,,,
"US1ILCK0064","41.5577","-87.6594","196.0","2007-04-22","0.00",,,,
"US1ILCK0064","41.5577","-87.6594","196.0","2007-04-23","0.00",,,,
"US1ILCK0064","41.5577","-87.6594","196.0","2007-04-24","0.00",,,,
"US1ILCK0064","41.5577","-87.6594","196.0","2007-04-25","2.03",,,,
"US1ILCK0064","41.5577","-87.6594","196.0","2007-04-26","0.69",,,,
"US1ILCK0064","41.5577","-87.6594","196.0","2007-04-27","0.46",,,,
"US1ILCK0064","41.5577","-87.6594","196.0","2007-04-28","0.02",,,,
"US1ILCK0064","41.5577","-87.6594","196.0","2007-04-29","0.00",,,,
"US1ILCK0064","41.5577","-87.6594","196.0","2007-04-30","0.08",,,,
"US1ILCK0064","41.5577","-87.6594","196.0","2007-05-01","0.00",,,,
"US1ILCK0064","41.5577","-87.6594","196.0","2007-05-02","0.01",,,,
"US1ILCK0064","41.5577","-87.6594","196.0","2007-05-03","0.00",,,,
"US1ILCK0064","41.5577","-87.6594","196.0","2007-05-04","0.00",,,,
"US1ILCK0064","41.5577","-87.6594","196.0","2007-05-05","0.00",,,,
"US1ILCK0064","41.5577","-87.6594","196.0","2007-05-06","0.00",,,,
"US1ILCK0064","41.5577","-87.6594","196.0","2007-05-07","0.00",,,,
"US1ILCK0064","41.5577","-87.6594","196.0","2007-05-08","0.00",,,,
"US1ILCK0064","41.5577","-87.6594","196.0","2007-05-09","0.00",,,,
"US1ILCK0064","41.5577","-87.6594","196.0","2007-05-10","0.00",,,,
"US1ILCK0064","41.5577","-87.6594","196.0","2007-05-11","0.00",,,,
"US1ILCK0064","41.5577","-87.6594","196.0","2007-05-12","0.00",,,,
"US1ILCK0064","41.5577","-87.6594","196.0","2007-05-13","0.00",,,,
"US1ILCK0064","41.5577","-87.6594","196.0","2007-05-14","0.00",,,,
